"","title","sales","console_PS4","console_XBox1","console_Switch","genre_Fighting","genre_Misc","genre_Platform","genre_Racing","genre_RPG","genre_Shooter","genre_Sports","genre_Action_Adventure","player_vector","esrb_vector","metascore","user_score_x10","igdb_member_rating","igdb_critic_rating","ign_x10","mgAverage"
"274","Naruto to Boruto: Shinobi Striker",106094,1,0,0,0,0,0,0,0,0,0,1,2,2,61,56,50,57.875,57.875,64.5
"275","NASCAR Heat Evolution",25771,1,0,0,0,0,0,1,0,0,0,0,2,3,66,44,60,51,57.1,64.5
"276","NBA 2K14",726292,1,0,0,0,0,0,0,0,0,1,0,2,0,85,65,81,80,93,84.7
"277","NBA 2K15",2044399,1,0,0,0,0,0,0,0,0,1,0,2,0,83,69,81,81,78,76.3
"278","NBA 2K16",3751714,1,0,0,0,0,0,0,0,0,1,0,2,1,87,67,80,90,90,85
"279","NBA 2K17",3348797,1,0,0,0,0,0,0,0,0,1,0,2,0,88,63,89,85,89,84.6666666666667
"280","NBA 2K18",3184629,1,0,0,0,0,0,0,0,0,1,0,2,1,80,17,67,74,84,78
"281","NBA 2K19",2627728,1,0,0,0,0,0,0,0,0,1,0,2,0,82,24,68,82,85,76.2
"282","NBA Live 19",19162,1,0,0,0,0,0,0,0,0,1,0,2,0,73,64,72.4,75,72.4,77.6
"283","Need for Speed (2015)",2050348,1,0,0,0,0,0,1,0,0,0,0,2,2,65,76,65,62,63,81.8
"284","Need for Speed Rivals",658601,1,0,0,0,0,0,1,0,0,0,0,1,1,80,62,69,80,80,63.8
"285","Need for Speed: Payback",1709886,1,0,0,0,0,0,1,0,0,0,0,2,2,61,42,60,54,59,62.5
"286","New Gundam Breaker",75890,1,0,0,0,0,0,0,0,0,0,1,1,2,43,29,50,38,38,30
"287","NHL 15",138923,1,0,0,0,0,0,0,0,0,0,1,2,3,60,37,75,62,70,60
"288","NHL 16",158491,1,0,0,0,0,0,0,0,0,1,0,2,1,78,54,84,79,78,83
"289","NHL 17",225138,1,0,0,0,0,0,0,0,0,1,0,2,1,78,56,80,80,84,76
"290","NHL 18",143175,1,0,0,0,0,0,0,0,0,1,0,2,1,75,35,60,76,74,78.6
"291","NHL 19",125569,1,0,0,0,0,0,0,0,0,1,0,2,1,80,51,79,79,89,78.2857142857143
"292","Ni-Oh",704877,1,0,0,0,0,0,0,0,0,0,1,1,3,88,85,80,88,96,86.2
"293","Ni no Kuni II: Revenant Kingdom",466183,1,0,0,0,0,0,0,1,0,0,0,0,2,84,75,73,86,78,88.7
"294","NieR Automata",895375,1,0,0,0,0,0,0,1,0,0,0,0,3,88,89,91,89,89,87.4444444444444
"295","Nights of Azure 2",19182,1,0,0,0,0,0,0,0,0,0,1,0,2,66,68,70,60,64.76,59.8
"296","Nintendo Labo: Toy-Con 01 Variety Kit",500457,0,0,1,0,1,0,0,0,0,0,0,0,0,77,69,73.2,74,76,70
"297","Nintendo Labo: Toy-Con 02 Robot Kit",144568,0,0,1,0,0,0,0,0,0,0,1,2,3,57,57,60,57,57,54
"298","Nintendo Labo: Toy-Con 03 Vehicle Kit",27516,0,0,1,0,0,0,1,0,0,0,0,2,3,67.5,67.5,73,67.5,67.5,62
"299","No Man's Sky",1677751,0,1,0,0,0,0,0,0,0,0,1,1,2,77,76,69,74,60,72.6666666666667
"300","Odin Sphere: Leifdrasir",40076,1,0,0,0,0,0,0,1,0,0,0,2,3,89.7857142857143,89.7857142857143,86,88,95,90.1428571428571
"301","Odin Sphere: Leifthrasir",123013,1,0,0,0,0,0,0,1,0,0,0,0,2,87,81,86,88,95,90.1428571428571
"302","Okami",121459,1,0,0,0,0,0,0,0,0,0,1,2,3,90.475,90.475,87,90,91,93.9
"303","One Piece: Burning Blood",185468,1,0,0,1,0,0,0,0,0,0,0,1,2,66,73,68,65,65,63
"304","One Piece: Kaizoku Musou 3",44005,1,0,0,0,0,0,0,0,0,0,1,1,2,74,77,72.5,72.5,69,70
"305","One Piece: Pirate Warriors 3",178625,1,0,0,0,0,0,0,0,0,0,1,1,2,74,77,70,76,69,70
"306","Onechanbara Z2: Chaos",69562,1,0,0,0,0,0,0,0,0,0,1,2,3,57,68,65,60,60,50
"307","Outlast Trinity",31967,1,0,0,0,0,0,0,0,0,0,1,2,3,68.4375,74,68.4375,68.4375,68.4375,62.875
"308","Overcooked! 2",25669,0,0,1,0,1,0,0,0,0,0,0,1,0,81,81,88,80,85,82.1
"309","Overwatch",4199141,1,0,0,0,0,0,0,0,1,0,0,2,2,90,64,85,89,94,85.1428571428571
"310","Payday 2",34575,0,0,1,0,0,0,0,0,1,0,0,1,3,60,51,75,75,80,66
"311","Payday 2: Crimewave Edition",102255,1,0,0,0,0,0,0,0,1,0,0,1,3,71,42,80,72,80,60.6666666666667
"312","Persona 5",968292,1,0,0,0,0,0,0,0,1,0,0,0,3,93,87,95,94,97,94.2222222222222
"313","Plants vs Zombies: Garden Warfare",134022,0,1,0,0,0,0,0,0,0,0,1,2,3,76,75,66,80,78,82.5555555555556
"314","Plants vs. Zombies: Garden Warfare",44898,1,0,0,0,0,0,0,0,0,0,1,2,1,75,75,66,80,78,82.5555555555556
